년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,알파색채(주),산업단지 및 공장지역,대지(2지역),2지역,374,0.3~3,1.77,75.6,8.12,0.13,104.4,0,366.9,16.5,329,0,0,0.3,0.03,,,,,,0,0,,0,7.3
2021,평화당인쇄(주),산업단지 및 공장지역,대지(2지역),2지역,297,0.3~3,0.47,10.8,8.23,0.04,22.8,0,49,15.2,199,0,0,0,0,,,,,,0,0,,0,7.6
2021,101경비단,교통관련시설지역,대지(2지역),2지역,50,0.3~3,0.41,13.1,6.79,0.06,17.7,0,54.8,9.9,,0,,,0,0,0,0,0,0,0,0,,0,8.2
2021,(주)대양씨앤씨 사직주유소,노후·방치 주유소 지역,주유소용지,3지역,603,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,10.4
2021,나경운수,교통관련시설지역,대지(2지역),2지역,81,0.3~1,1.21,50.8,6.55,0.1,72.9,0,240.3,16,,0,,,0,0,2.1,0.2,0.1,0,0,0,,0,11.8
2021,OK카서비스,교통관련시설지역,대지(2지역),2지역,2438,0.3~3,0.87,36.8,5.99,0.09,61.5,0,176.7,10.9,,0,,,0,0,0.6,0,0,90,0,0,,0,9.1
2021,강남손세차장,교통관련시설지역,대지(2지역),2지역,542,0.3~3,0.68,51.5,7.74,0.9,56.8,0,202.1,9.7,,0,,,0.02,0,0.4,0,0,96,0,0,,0,7.9
2021,자하문주유소,교통관련시설지역,주유소용지,3지역,1561,0.3~5,,,,,,,,,,,,,,0,0.6,0,0,59,0,0,,0,11.9
2021,육군제1596부대 88지원대,교통관련시설지역,임야,2지역,13566,0.3~3,0.67,35.5,7.38,0.39,37.4,0,150.8,11.3,,0,,,0,0,1.1,0,0,0,0,0,,0,11.6
2021,태성자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,238,0.3~3,0.76,50.9,3.91,0.2,30.2,0,99.9,30.1,,,,,,,,,,,,,,,8.8
2021,현대카센타,교통관련시설지역,대지(2지역),2지역,274,0.3~3,1.73,15.8,4.22,0.05,58.3,0,701.7,50.2,,0,,,0,0,0,0,0,0,0,0,,0,9.4
2021,SK에너지(주) 통일주유소,노후·방치 주유소 지역,대지(2지역),2지역,642,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,9.7
2021,세화주유소,노후·방치 주유소 지역,주유소용지,3지역,1028,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,10.7
2021,화성주유소,노후·방치 주유소 지역,주유소용지,3지역,264,0.3~5,,,,,,,,,,,,,,0,0,0,0,68,0,0,,0,8
2021,손기정공원,어린이 놀이시설지역,공원용지,1지역,18240,0.3~3,0.85,40.7,3.38,0,20.5,0,89.2,40.5,,,,,,,,,,,,,,,8.6
2021,충현마을마당내놀이터,어린이 놀이시설지역,대지(2지역),[어린이놀이시설(실외설치)] 1지역,563,0.3~3,0.92,37,5.93,0.05,23.1,0,97.5,47.8,,,,,,,,,,,,,,,8.6
2021,훈련원공원,어린이 놀이시설지역,공원용지,1지역,11007,0.3~3,0.57,41.9,6.3,0.37,43,0,144.4,13.5,,,,,,,,,,,,,,,8.4
2021,대한자원,원광석·고철 등의 보관·사용지역,구거,1지역,969,0.3~3,0.72,41.6,4.06,0.11,48.3,0,164.8,44.9,,,,,,,,,,,,,,,9
2021,천일자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,130,0.3~3,1.04,33.3,3.38,0.12,38.6,0,135.3,28.2,,,,,,,,,,,,,,,7.5
2021,영광자동차공업사,교통관련시설지역,대지(2지역),2지역,401,0.3~3,0.7,644.9,11.22,0.75,115.2,0,345.5,17.8,,0,,,0.1,0,1.2,0.2,0.2,113,0,0,,0,7
2021,르노삼성자동차 지정정비코너 청담점,교통관련시설지역,대지(2지역),2지역,444,0.3~3,3.2,581.2,11.4,0.52,923.8,0,3719.3,43.5,,0,,,0,0,2.8,0.7,0.6,150,0,0,,0,8
2021,현대오일뱅크(주)직영 강변현대주유소,노후·방치 주유소 지역,주유소용지,3지역,225,0.3~5,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,8.4
2021,(주)중앙에너비스주유소,노후·방치 주유소 지역,주유소용지,3지역,882,0.3~5,,,,,,,,,,,,,,0,2.7,0.7,0.5,56,0,0,,0,9.9
2021,(주)중앙에너비스 한남지점주유소,교통관련시설지역,주유소용지,3지역,446,0.3~5,,,,,,,,,,,,,,0,0.8,0.2,0.2,0,0,0,,0,9.1
2021,용진세차장,교통관련시설지역,대지(2지역),2지역,102,0.3~3,0.5,15.4,45.3,0.01,37,0,90.7,14,,0,,,0,0,3.1,0.6,0.4,164,0,0,,0,10.4
2021,퍼스트서비스(주)용산지점,교통관련시설지역,대지(2지역),2지역,318,0.3~3,0.97,36.4,2.61,0,22.8,0,138.5,44,,0,,,0,0,4.4,1.3,0.9,0,0,0,,0,7.2
2021,늘푸른어린이공원,어린이 놀이시설지역,공원용지,1지역,789,0.3~3,0.73,44.8,7.3,0.31,123.8,0,340.7,20.1,,,,,,,,,,,,,,,8.6
2021,독사당어린이공원,어린이 놀이시설지역,대지(2지역),[어린이놀이시설(실외설치)] 1지역,469,0.3~3,1.02,52.8,3.49,0.07,41.1,0,160.7,37.6,,,,,,,,,,,,,,,7.1
2021,보배모터스,산업단지 및 공장지역,공장용지,3지역,1023,0.3~3,0.57,20.3,6.66,0.21,15.9,0,80.5,18.5,284,0,0,0,0,,,,,,0,0,,0,6.3
2021,서울숲공원,공장폐수 유입지역,유원지,2지역,480994,0.3~3,0.65,23.5,6.68,0.49,21.1,0,78.5,14,317,0,0,0,0,,,,,,0,0,,0,8.3
2021,KLP제2주유소,노후·방치 주유소 지역,대지(2지역),2지역,757,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7
2021,세원주유소,노후·방치 주유소 지역,대지(2지역),2지역,1002,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.1
2021,현대오일뱅크(주)직영 성동셀프주유소,노후·방치 주유소 지역,주유소용지,3지역,794,0.3~5,,,,,,,,,,,,,,0,0.5,0.3,0.3,665,0,0,,0,8.1
2021,태진운수(주),교통관련시설지역,대지(2지역),2지역,772,0.3~3,0.51,16.5,6.61,0.03,16.6,0,63.2,13.5,,0,,,0,0,0,0,0,0,0,0,,0,8
2021,금호주유소,노후·방치 주유소 지역,대지(2지역),2지역,766,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.7
2021,인성셀프세차장,교통관련시설지역,대지(2지역),2지역,1245,0.3~5,0.8,355.9,16.2,0.95,129.7,0,502.1,27.7,,0,,,0,0,0,0,0,154,0,0,,0,7.8
2021,대덕자동차공업사,교통관련시설지역,대지(2지역),2지역,1975,0.3~3,0.8,63.7,12.4,0.76,74.6,0,688.9,23.4,,0,,,0,0,0,0,0,55,0,0,,0,9.7
2021,대한상운(주),교통관련시설지역,잡종지(2지역),2지역,2474,0.3~3,0.67,29.4,7.84,0.06,19.3,0,75.9,28,,0,,,0,0,0,0,0,0,0,0,,0,6.9
2021,서울교통공사 군자차량기지,철도관련 시설 및 철도 폐침목 사용지역,하천,2지역,211200,0.3~3,0.51,45.7,7.01,0.24,53.7,0,123.2,10.1,,0,,,0,0,0.2,0,0,112,0,0,0.076,0,8.9
2021,서울교통공사 군자차량기지,철도관련 시설 및 철도 폐침목 사용지역,하천,2지역,211200,0.3~3,0.56,57.5,6.79,0.33,45.2,0,166,11.6,,0,,,0,0,0,0,0,0,0,0,0.015,0,8.8
2021,서울교통공사 군자차량기지,철도관련 시설 및 철도 폐침목 사용지역,하천,2지역,211200,0.3~3,0.49,62.6,8.11,0.36,44.3,0,127.4,8.6,,0,,,0,0,0,0,0,66,0,0,0.123,0,9.2
2021,TKP송유관시설,사고·민원 등 발생지역,수도용지,2지역,90,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.3
2021,TPK송유관시설,사고·민원 등 발생지역,하천,2지역,910,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.6
2021,현대오일뱅크(주)직영 중원주유소,교통관련시설지역,주유소용지,3지역,801,0.3~5,,,,,,,,,,,,,,0,0,0,0,1079,0,0,,0,6.7
2021,대원주유소,노후·방치 주유소 지역,주유소용지,3지역,337,0.3~5,,,,,,,,,,,,,,0,0.1,0,1,0,0,0,,0,8.2
2021,정해네트웍스(주) 일진주유소,교통관련시설지역,주유소용지,3지역,522,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.9
2021,구의스타주유소,교통관련시설지역,주유소용지,3지역,547,0.3~5,,,,,,,,,,,,,,0,0,0,0,371,0,0,,0,8.3
2021,동서울주유소,노후·방치 주유소 지역,주유소용지,3지역,495,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.6
2021,현대오일뱅크(주)직영 중곡현대주유소,노후·방치 주유소 지역,주유소용지,3지역,723,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.9
2021,현대오일뱅크(주)직영 능동주유소,교통관련시설지역,주유소용지,3지역,1868,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,10.1
2021,자양주유소,노후·방치 주유소 지역,주유소용지,3지역,526,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.3
2021,한국송유관,사고·민원 등 발생지역,수도용지,2지역,2210,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.3
2021,한국송유관,사고·민원 등 발생지역,도로,3지역,11937,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,10.6
2021,한국송유관,사고·민원 등 발생지역,도로,3지역,12530,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.6
2021,한국송유관,사고·민원 등 발생지역,하천,2지역,5807,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.5
2021,한국송유관,사고·민원 등 발생지역,제방,3지역,2900,0.3~3,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,9.3
2021,한국송유관,사고·민원 등 발생지역,하천,2지역,102203,0.3~3,,,,,,,,,,,,,,0,0,0,0,52,0,0,,0,7.1
2021,동자어린이공원,어린이 놀이시설지역,공원용지,1지역,985,0.3~3,0.76,72,6.56,0.07,32.7,0,167.4,31.8,,,,,,,,,,,,,,,7.2
2021,삼성자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,264,0.3~3,0.15,2,0,0,11,0,29.4,0.9,,,,,,,,,,,,,,,7.9
2021,재정주유소,교통관련시설지역,주유소용지,3지역,393,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.2
2021,(주)재건에너지 재정제2주유소,노후·방치 주유소 지역,주유소용지,3지역,721,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.2
2021,풍한주유소,노후·방치 주유소 지역,주유소용지,3지역,728,0.3~5,,,,,,,,,,,,,,0,0,0,0,139,0,0,,0,7.6
2021,(주)파랑에너지주유소,교통관련시설지역,주유소용지,3지역,873,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.2
2021,고려자동차,교통관련시설지역,대지(2지역),2지역,125,0.3~3,0.57,46.8,9.88,0.36,55.6,0,208.9,17,,0,,,0.02,0,0,0,0,0,0,0,,0,8.6
2021,한국철도공사 수도권철도차량정비단(이문차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,64871,0.3~3,0.35,15.1,3.3,0.06,19.3,0,63.7,4.8,,0,,,0,0,0,0,0,0,0,0,0,0,8.8
2021,한국철도공사 수도권철도차량정비단(이문차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,64871,0.3~3,0.38,10.8,3.82,0.04,20.8,0,58.2,6,,0,,,0,0,0,0,0,0,0,0,0,0,8.7
2021,한국철도공사 수도권철도차량정비단(이문차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,64871,0.3~3,0.43,12.6,4.05,0.06,31.3,0,73,7.9,,0,,,0,0,0,0,0,0,0,0,0,0,8.7
2021,한국철도공사 수도권철도차량정비단(청량리차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,18166,0.3~3,0.52,8.6,4.61,0.03,23.2,0,60.2,8.5,,0,,,0,0,0,0,0,0,0,0,0,0,6.1
2021,한국철도공사 수도권철도차량정비단(청량리차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,18166,0.3~3,0.53,90.2,5.08,0.05,69.1,0,113,8.1,,0,,,0,0,0,0,0,127,0,0,0,0,9
2021,한국철도공사 수도권철도차량정비단(청량리차량사업소),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,18166,0.3~3,0.48,323.4,5.04,0.04,59,0,177.7,8.5,,0,,,0,0,0,0,0,0,0,0,0,0,8.8
2021,이삭어린이공원,어린이 놀이시설지역,공원용지,1지역,354,0.3~3,0.56,33.5,6.01,0.16,54,1,136.4,10.7,,,,,,,,,,,,,,,8.9
2021,샛말어린이공원,어린이 놀이시설지역,공원용지,1지역,2545,0.3~3,0.46,12.8,4.51,0,9.2,0,60.6,15,,,,,,,,,,,,,,,8.3
2021,쉼터어린이공원,어린이 놀이시설지역,공원용지,1지역,1695,0.3~3,0.73,78.9,6.2,0.23,55.9,0,228.1,22.6,,,,,,,,,,,,,,,8.4
2021,이문1재정비촉진구역 주택재개발정비사업조합,토지개발지역,대지(1지역),1지역,144856,0.3~3,0.21,2.1,2.66,0,12.7,0,38,1.8,209,0,,,0,0,0,0,0,0,0,0,,0,8
2021,이문1재정비촉진구역 주택재개발정비사업조합,토지개발지역,대지(1지역),1지역,144856,0.3~3,0.19,2.5,3.63,0.01,14.1,0,34.7,1.8,209,0,,,0,0,0,0,0,0,0,0,,0,8.2
2021,신내테크노타운,산업단지 및 공장지역,공장용지,3지역,4234,0.3~3,0.48,22.8,11.18,0.03,19.2,0,75.3,8.8,276,0,0,0,0,,,,,,0,0,,0,8.2
2021,대경자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,166,0.3~3,0.53,22.3,6.41,0.21,30.4,0,113.1,15.6,,,,,,,,,,,,,,,7.5
2021,보광자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,211,0.3~3,1,269.3,14.26,0.59,163.6,0,751.2,50.5,,,,,,,,,,,,,,,8.6
2021,창대철강,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,1097,0.3~3,0.7,61.5,9.61,0.13,89.4,0,639,41.1,,,,,,,,,,,,,,,8.1
2021,대원주유소,교통관련시설지역,대지(2지역),2지역,631,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.4
2021,신내주유소,교통관련시설지역,주유소용지,3지역,933,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,10.4
2021,(주)자연에너지 대창주유소,노후·방치 주유소 지역,주유소용지,3지역,336,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7
2021,오천만주유소,노후·방치 주유소 지역,대지(2지역),2지역,554,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.2
2021,대양주유소,노후·방치 주유소 지역,주유소용지,3지역,721,0.3~5,,,,,,,,,,,,,,0,0.7,0.2,0,67,0,0,,0,8.7
2021,도시교통공사(신내차량기지),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,41403,0.3~3,0.36,6.6,4.91,0.01,15.9,0,51.2,20.2,,,,,0,0,0,0,0,0,0,0,0,0,6.6
2021,도시교통공사(신내차량기지),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,41403,0.3~3,0.4,8.1,4.88,0.02,17.7,0,63.6,14.6,,0,,,0,0,0.4,0,0,0,0,0,0,0,6.1
2021,도시교통공사(신내차량기지),철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,41403,0.3~3,0.56,15.8,6.66,0.04,23.1,0,82.7,15.6,,0,,,0,0,0,0,0,0,0,0,0,0,8.3
2021,서당어린이공원,어린이 놀이시설지역,공원용지,1지역,2000,0.3~3,0.43,16.1,6.48,0.04,31.3,0,79.6,8.7,,,,,,,,,,,,,,,8.8
2021,까치어린이공원,어린이 놀이시설지역,공원용지,1지역,3231,0.3~3,0.93,21.5,6.61,0.04,15.9,0,72,24.8,,,,,,,,,,,,,,,7.2
2021,신현어린이공원,어린이 놀이시설지역,공원용지,1지역,1492,0.3~3,0.35,7.1,4.21,0.01,20.4,0,49.7,5.7,,,,,,,,,,,,,,,9
2021,양원지구,토지개발지역,대지(1지역),1지역,345291,0.3~3,0.49,11.9,5.78,0,17.9,0,57.1,13,313,0,,,0,0,0,0,0,62,0,0,,0,8.8
2021,양원지구,토지개발지역,대지(1지역),1지역,345291,0.3~3,0.68,14.6,7.32,0.04,22.8,0,68.4,19.7,389,0,,,0,0,0,0,0,0,0,0,,0,4.7
2021,진주자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,342,0.3~3,0.42,13.1,3.31,0.29,20.8,0,64,3.9,,,,,,,,,,,,,,,7.4
2021,조일자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,89,0.3~3,0.61,14.1,8.01,0.23,38.9,0,136.7,6.6,,,,,,,,,,,,,,,9.2
2021,강남자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,405,0.3~3,0.83,31.9,5.92,0.06,35.1,0,148.4,26.4,,,,,,,,,,,,,,,8.9
2021,동성자동차서비스,교통관련시설지역,대지(2지역),2지역,106,0.3~3,0.3,8.6,2.21,0.06,22.7,0,69.2,2.9,,0,,,0,0,0.5,1.7,0.1,0,0,0,,0,9.5
2021,삼우자동차서비스,교통관련시설지역,대지(2지역),2지역,132,0.3~3,0.58,21.8,3.29,0.12,57.5,0.5,132.7,4.3,,0,,,0,0,0,0,0,69,0,0,,0,11.5
2021,차사랑서비스,교통관련시설지역,대지(2지역),2지역,87,0.3~3,0.3,7.4,3.6,0.13,19.2,0,60,2.6,,0,,,0,0,0,0,0,0,0,0,,0,7.4
2021,보문세차장,교통관련시설지역,대지(2지역),2지역,481,0.3~3,0.47,7.1,3.81,0.13,18.1,0,58.6,2.8,,0,,,0,0,0.2,0.3,0,0,0,0,,0,6.9
2021,동일주유소,노후·방치 주유소 지역,주유소용지,3지역,425,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.3
2021,이케이에너지(주) 강산주유소,노후·방치 주유소 지역,주유소용지,3지역,455,0.3~5,,,,,,,,,,,,,,0,0,0,0,595,0,0,,0,7.5
2021,장삼주유소,노후·방치 주유소 지역,주유소용지,3지역,245,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.6
2021,신방주유소,교통관련시설지역,주유소용지,3지역,182,0.3~5,,,,,,,,,,,,,,0,0.3,0.5,0.1,0,0,0,,0,6.8
2021,(주)중앙에너비스 종암지점주유소,교통관련시설지역,주유소용지,3지역,1706,0.3~5,,,,,,,,,,,,,,0,0.2,0.6,0,0,0,0,,0,9.1
2021,삼선5구역 주택재개발정비사업,토지개발지역,대지(1지역),1지역,63780,0.3~3,0.39,9,4.1,0.06,27.8,0,77,3.6,166,0,,,0,0,0,0,0,0,0,0,,0,8.9
2021,삼선5구역 주택재개발정비사업,토지개발지역,대지(1지역),1지역,63780,0.3~3,0.43,12.6,4.73,0.18,28.3,0,117,3.5,309,0,,,0,0,0,0,0,0,0,0,,0,10
2021,용성자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,254,0.3~3,0.42,14,5.03,0.1,29.8,0,100,5.9,,,,,,,,,,,,,,,8.7
2021,합동자원,원광석·고철 등의 보관·사용지역,대지(2지역),2지역,199,0.3~3,5.72,5919.2,57.39,6.71,2232.4,0,2896.9,52.5,,,,,,,,,,,,,,,6.9
2021,벌말어린이공원,지하수 오염지역,공원용지,1지역,4641,0.3~3,0.43,13.6,2.03,0.02,14.9,0,72.9,6.4,418,0,0,0,0,0,0,0,0,0,0,0,,0,7.5
2021,벌말어린이공원,지하수 오염지역,공원용지,1지역,4641,3~5,0.43,10.3,2.16,0.02,13.8,0,69.2,12,456,0,0,0,0,0,0,0,0,0,0,0,,0,7.3
2021,벌말어린이공원,지하수 오염지역,공원용지,1지역,4641,5~7,0.44,26.7,5.05,0.23,30.1,0,121.4,9,309,0,0,0,0,0,0,0,0,0,0,0,,0,7.1
2021,전진교통(주),교통관련시설지역,대지(2지역),2지역,1256,0.3~3,0.4,23.7,3.87,0.1,33.2,0,95.9,7,,0,,,0,0,0,0,0,119,0,0,,0,9.1
2021,(주)석산에너지주유소,노후·방치 주유소 지역,주유소용지,3지역,245,0.3~5,,,,,,,,,,,,,,0,0,0,0,135,0,0,,0,9.3
2021,화계운수,교통관련시설지역,대지(2지역),2지역,390,0.3~3,0.24,4.8,3.65,0.03,16.2,0,44.6,5.8,,0,,,0,0,0,0,0,0,0,0,,0,7.1
2021,서울와사공업,교통관련시설지역,주유소용지,3지역,320,0.3~3,0.3,21.5,4.05,0.05,24.9,0,88.2,5.9,,0,,,0,0,0,0,0,0,0,0,,0,8.7
2021,청정손세차장,교통관련시설지역,대지(2지역),2지역,959,0.3~3,0.58,37.1,10.08,0.16,59.3,0,197.3,12.5,,0,,,0,0,0,0,0,0,0,0,,0,7.7
2021,고갯마루,어린이 놀이시설지역,공원용지,1지역,2185,0.3~3,0.46,24.5,7.36,0.1,31.9,0,120.8,8.2,,,,,,,,,,,,,,,7.9
2021,벌리어린이공원,어린이 놀이시설지역,공원용지,1지역,4083,0.3~3,0.53,41.4,5.7,0.08,39.1,0,158.8,11,,,,,,,,,,,,,,,8.8
2021,오패어린이공원,어린이 놀이시설지역,공원용지,1지역,1084,0.3~3,0.47,20.1,5.46,0.06,31.3,1,92.4,9,,,,,,,,,,,,,,,7.9
2021,시온자동차공업사,산업단지 및 공장지역,대지(2지역),2지역,722,0.3~3,0.43,26.3,3.48,0.04,18.8,0,69.7,5.9,280,0,0,0,0,,,,,,0,0,,0,8.3
2021,KCC오토,산업단지 및 공장지역,잡종지(2지역),2지역,1016,0.3~3,0.64,7.9,6.88,0.06,40.2,0,87.9,4.2,175,0,0,0,0,,,,,,0,0,,0,9.1
2021,우성카프랜드,산업단지 및 공장지역,대지(2지역),2지역,443,0.3~3,0.5,46.6,9.8,0.14,34.9,0,145.1,9.5,221,0,0,0,0,,,,,,0,0,,0,9
2021,도봉 음식물중간처리장,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,13273,0.3~3,0.41,12,4.98,0.24,26.5,1,82.3,15.9,,,,,,,,,,,,,,,11.2
2021,노원교주유소,노후·방치 주유소 지역,대지(2지역),2지역,809,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,8.5
2021,정다운주유소,노후·방치 주유소 지역,주유소용지,3지역,796,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,9.9
2021,아진교통,교통관련시설지역,잡종지(2지역),2지역,5093,0.3~3,0.37,63.1,3.1,0.03,15.6,0,61.8,6.9,,0,,,0,0,0,0,0,462,0,0,,0,11.9
2021,대한셀프세차장,교통관련시설지역,대지(2지역),2지역,1137,0.3~3,0.5,26.3,5.36,0.05,29.5,0,89.4,16,,0,,,0,0,0,0,0,108,0,0,,0,8.8
2021,금강상운,교통관련시설지역,대지(2지역),2지역,1950,0.3~3,0.59,110.5,12.41,0.35,55,0,136.3,8.6,,0,,,0,0,0,0,0,61,0,0,,0,8.6
2021,프로세차장,사고·민원 등 발생지역,대지(2지역),2지역,150,0.3~3,0.35,16.6,3.73,0.05,24.9,0,65.3,3.8,351,0,0,0,0,0,0,0,0,0,0,0,,0,7.6
2021,꽃동네어린이공원,어린이 놀이시설지역,공원용지,1지역,317,0.3~3,0.45,17.6,5.2,0.05,26.8,0,92.4,8.2,,,,,,,,,,,,,,,9.1
2021,무궁화어린이공원,어린이 놀이시설지역,공원용지,1지역,1002,0.3~3,0.42,14.8,5.44,0.13,32.5,1.1,90.1,8.2,,,,,,,,,,,,,,,9
2021,상수초등학교,공장폐수 유입지역,학교용지,1지역,11554,0.3~3,0.4,10.9,6.2,0.02,16.6,0,53.9,10.2,267,0,0,0,0,,,,,,0,0,,0,7.9
2021,상천초등학교,공장폐수 유입지역,학교용지,1지역,11600,0.3~3,0.64,48.7,6.56,0.08,37.3,0,99,9.6,274,0,0,0,0,,,,,,0,0,,0,7.2
2021,서울에너지공사 동부지사,폐기물 처리 및 재활용 관련 지역,대지(2지역),2지역,42267,0.3~3,0.35,14.6,3.37,0.12,25.9,0,77.2,6.6,,,,,,,,,,,,,,,7.1
2021,풍전빌딩,지하수 오염지역,대지(2지역),2지역,477,0.3~3,0.57,17.2,5.35,0.02,31.7,0,109.2,7.9,393,0,0,0,0,0,0,0,0,0,0,0,,0,9.2
2021,풍전빌딩,지하수 오염지역,대지(2지역),2지역,477,3~5,0.58,10.6,4.79,0.02,25,0,80,9.3,277,0,0,0,0,0,0,0,0,0,0,0,,0,8.5
2021,풍전빌딩,지하수 오염지역,대지(2지역),2지역,477,5~7,0.37,4.9,4.33,0.01,12.2,0,44.4,5,180,0,0,0,0,0,0,0,0,63,0,0,,0,9.9
2021,노원소방서,교통관련시설지역,대지(2지역),2지역,3689,0.3~3,0.44,29.8,6.73,0.07,27.8,0,79.4,10,,0,,,0,0,0,0,0,0,0,0,,0,7.7
2021,하계삼호주유소,노후·방치 주유소 지역,주유소용지,3지역,308,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,9.4
2021,삼육주유소,노후·방치 주유소 지역,주유소용지,3지역,928,0.3~5,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,7.6
2021,신영교통,교통관련시설지역,대지(2지역),2지역,627,0.3~3,0.38,7.3,5.79,0.03,15,0,51.5,9,,0,,,0,0,0,0,0,0,0,0,,0,6.4
2021,경성자동차교통(주),교통관련시설지역,대지(2지역),2지역,594,0.3~3,0.34,6.1,3.13,0.07,14.3,0,53.3,4.6,,0,,,0,0,0,0,0,0,0,0,,0,7.5
2021,군인복지기금 태릉체력단련장,교통관련시설지역,체육용지,2지역,634610,0.3~3,0.52,13,7.05,0.17,20.4,0,87.2,11.5,,0,,,0,0,0,0,0,0,0,0,,0,6
2021,창동차량기지,철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,175192,0.3~3,0.3,60.8,2.28,0.03,21.1,0,69.1,4.1,,0,,,0,0,0,0,0,55,0,0,0,0,7.8
2021,창동차량기지,철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,175192,0.3~3,0.44,18.3,4.89,0.08,35.1,0,84.6,5.9,,0,,,0,0,0,0,0,0,0,0,0,0,8.6
2021,창동차량기지,철도관련 시설 및 철도 폐침목 사용지역,철도용지,3지역,175192,0.3~3,0.32,17,3.08,0.04,22,0,59.8,3.8,,0,,,0,0,0,0,0,0,0,0,0,0,10.5
2021,신기루공원,어린이 놀이시설지역,공원용지,1지역,1500,0.3~3,0.42,6.9,1.87,0.02,14.6,0,56.3,6.4,,,,,,,,,,,,,,,8.1
